Gene_Name,Ramadoss_Neuron,Ramadoss_Neuron,Ramadoss_Neuron,Tian_Neuron,Tian_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Rummel_Neuron
AC003989,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
AC004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004057,6,4,3,0,0,1,1,3,1,1,0,67,451,33,51,75,96
AC004062,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC004066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004069,2,2,4,0,0,7,4,9,8,4,4,0,0,0,0,0,6
AC004074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004076,1,0,0,0,0,1,0,1,1,0,0,22,34,17,0,5,0
AC004129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004381,0,1,0,4,5,74,79,122,176,56,50,62,219,88,20,43,11
AC004383,2,0,0,0,1,6,2,3,7,3,2,7,19,0,0,0,1
AC004386,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
AC004453,39,39,32,2,1,19,2,28,38,13,15,0,2,3,0,0,1133
AC004461,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
AC004692,3,0,0,0,0,0,0,0,0,0,0,32,4,0,0,0,2
AC004837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004840,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC004854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004893,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,7,0
AC004899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004920,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004941,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
AC004945,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
AC004951,0,3,6,0,0,13,16,9,15,12,15,50,62,0,9,3,11
AC004967,2,1,3,0,6,19,26,20,29,28,29,7,11,0,0,1,3
AC004980,0,0,0,4,8,31,29,23,39,25,20,0,0,0,0,0,12
AC004987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005014,0,0,0,0,2,1,0,1,3,0,0,0,8,0,0,0,0
AC005019,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
AC005033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005041,113,118,96,0,0,0,0,0,0,1,0,1,0,0,0,0,0
AC005042,0,0,0,0,0,1,0,0,0,1,0,13,0,0,0,0,0
AC005077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005086,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AC005094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005105,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
AC005154,272,207,217,15,53,603,653,517,730,691,737,8,0,0,3,0,157
AC005176,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,5,0
AC005178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005189,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
AC005229,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005237,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AC005255,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
AC005262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
AC005281,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
AC005300,0,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0,0
AC005307,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
AC005336,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AC005351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005363,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0
AC005480,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005534,0,0,1,0,0,2,2,1,0,1,0,10,40,0,0,7,1
AC005539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005609,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005682,0,0,0,0,0,1,0,0,2,0,2,0,4,0,0,0,0
AC005722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005730,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
AC005740,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC005741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005776,0,2,0,0,0,6,2,2,5,5,1,0,12,0,4,0,6
AC005777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005786,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
AC005822,0,0,2,0,0,0,0,1,1,0,1,2,0,0,0,6,0
AC005838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005943,0,0,0,0,0,0,0,0,0,0,0,64,283,43,0,37,0
AC006011,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
AC006022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006026,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC006028,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1
AC006033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006042,0,0,0,0,0,0,1,1,0,0,0,15,42,0,1,1,1
AC006070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006116,0,0,0,0,0,5,5,1,0,0,2,11,6,0,0,0,0
AC006130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC006133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006160,0,0,0,0,0,2,10,6,9,7,6,0,0,0,0,0,3
AC006195,0,0,0,1,0,1,0,0,3,1,2,0,18,0,0,0,0
