Gene_Name,Processed_Ramadoss_iPSC_1,Processed_Ramadoss_iPSC_2,Processed_Ramadoss_iPSC_3,Processed_Lisowski_iPSC1,Processed_Lisowski_iPSC2,Processed_Lisowski_iPSC3,Processed_Susco_iPSC_1,Processed_Susco_iPSC_2,Processed_Susco_iPSC_3,Processed_Susco_iPSC_4,Processed_Susco_iPSC_5
AC013444,0,0,0,0,0,0,0,0,0,0,0
AC013467,0,0,0,0,0,0,0,0,0,0,0
AC013470,0,0,1,1,2,3,0,0,0,0,0
AC013474,0,1,0,6,3,5,0,0,0,0,0
AC015688,0,0,0,0,0,0,0,0,0,0,0
AC015818,0,0,0,0,0,0,0,0,0,0,0
AC015849,0,0,0,3,2,1,14,14,39,18,13
AC015922,0,0,0,0,0,0,0,0,0,0,0
AC015977,0,0,0,0,0,0,0,0,0,0,0
AC016292,0,0,0,4,3,3,0,0,0,0,0
AC016582,0,0,0,35,29,35,75,24,31,59,103
AC016629,0,0,0,0,0,0,3,0,17,2,5
